id,duration,codec,width,height,bitrate,category,framerate,i,p,b,frames,i_size,p_size,b_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,umem,utime
64,80.536,h264,480,360,690041,Howto & Style,29,43,2374,0,2417,618732,6327913,0,6946645,h264,5000000,25,1280,720,331660,104.667
65,714.371,vp8,1280,720,652356,Film & Animation,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,539000,25,640,480,165564,20.501
66,286.995,h264,480,360,508160,People & Blogs,23,156,6726,0,6882,2285153,15944803,0,18229956,h264,5000000,29.97,1920,1080,651616,155.714
67,458.625,h264,640,480,517364,Gaming,29,245,13501,0,13746,5308581,24350943,0,29659524,vp8,5000000,25,1920,1080,216820,32.374
68,127.221664,h264,1920,1080,3080852,People & Blogs,23,70,2980,0,3050,3818903,45174992,0,48993895,vp8,820000,29.97,1280,720,217436,30.174
69,203.198,flv,320,240,239336,People & Blogs,29,104,5974,0,6078,853613,5225468,0,6079081,h264,3000000,24,480,360,221160,14.777
70,39.055,h264,1920,1080,5992818,People & Blogs,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,242000,24,320,240,215848,12.225
71,131.76,vp8,640,480,104723,People & Blogs,25.145039,37,3257,0,3294,945865,778937,0,1724802,h264,539000,25,1920,1080,666884,43.427
72,270.655,vp8,640,480,652967,People & Blogs,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,h264,5000000,24,1920,1080,641744,161.51
73,69.933,flv,320,240,272898,Autos & Vehicles,15,37,1013,0,1050,349781,2035796,0,2385577,vp8,5000000,15,1920,1080,219656,47.067
74,311.1,mpeg4,176,144,56416,Music,12,113,3620,0,3733,127552,2066350,0,2193902,vp8,56000,29.97,1920,1080,221160,13.841
75,225.08,h264,480,360,538452,People & Blogs,25,113,5515,0,5628,1873408,13275961,0,15149369,vp8,109000,15,1920,1080,216820,17.681
76,750.433,vp8,1280,720,794075,Music,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,vp8,56000,24,1920,1080,165700,28.718
77,274.541,vp8,480,360,139791,People & Blogs,30.029198,58,8170,0,8228,802625,3994697,0,4797322,h264,242000,12,1920,1080,648776,28.13
78,339.667,h264,640,480,257699,People & Blogs,30,181,10010,0,10191,10121223,820261,0,10941484,h264,109000,12,1920,1080,583788,16.973
79,270.655,vp8,640,480,652967,Music,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,vp8,242000,29.97,480,360,219480,10.033
80,157.80167,h264,1280,720,2885589,Sports,25,72,3873,0,3945,5611970,51306874,0,56918844,vp8,109000,25,480,360,216020,10.857
81,1140.349,vp8,1280,720,2394626,People & Blogs,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,vp8,109000,25,1920,1080,219480,48.155
82,216.55,h264,320,240,291150,People & Blogs,29,112,6379,0,6491,1789334,6091735,0,7881069,vp8,5000000,12,1280,720,199392,11.493
83,250.017,h264,320,240,153059,Entertainment,29,128,7366,0,7494,856855,3926589,0,4783444,vp8,5000000,25,1280,720,218664,21.337
84,49.178333,mpeg4,176,144,54338,Music,7,10,334,0,344,33046,300986,0,334032,h264,5000000,29.97,640,480,221160,12.301
85,204.938,h264,480,360,297373,Sports,16,111,3169,0,3280,1451634,6166260,0,7617894,mpeg4,5000000,24,1920,1080,114004,12.401
86,274.541,vp8,480,360,139791,Gaming,30.029198,58,8170,0,8228,802625,3994697,0,4797322,h264,5000000,24,640,480,216820,24.186
87,860.056,vp8,1280,720,2688309,Science & Technology,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,mpeg4,3000000,15,1920,1080,260044,12.733
88,130.35667,mpeg4,176,144,54590,Entertainment,12,27,1537,0,1564,64483,825054,0,889537,vp8,56000,29.97,1920,1080,87044,18.209
89,1768.9417,mpeg4,176,144,56152,People & Blogs,12,354,20873,0,21227,1382103,11034284,0,12416387,h264,56000,25,1920,1080,630452,43.107
90,326.583,vp8,640,480,1055982,Sports,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,h264,56000,12,1280,720,320740,14.097
91,250.017,h264,320,240,153059,Autos & Vehicles,29,128,7366,0,7494,856855,3926589,0,4783444,h264,5000000,12,1920,1080,643296,85.173
92,86.486,h264,640,480,356037,Music,29,46,2547,0,2593,819680,3029350,0,3849030,h264,3000000,29.97,1280,720,332984,37.642
93,69.93833,mpeg4,176,144,56717,Music,12,14,825,0,839,47521,448322,0,495843,vp8,539000,29.97,1280,720,221152,10.209
94,473,h264,320,240,164017,Gaming,25,198,10924,704,11826,1419320,8047423,0,9697521,h264,109000,12,1280,720,318552,14.565
95,714.371,vp8,1280,720,652356,Film & Animation,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,539000,24,1920,1080,677060,61.16
96,255.28,flv,320,240,250276,People & Blogs,25,110,6272,0,6382,611474,7374864,0,7986338,vp8,539000,25,1280,720,216820,20.281
97,49.178333,mpeg4,176,144,54338,People & Blogs,7,10,334,0,344,33046,300986,0,334032,h264,3000000,25,640,480,221160,11.149
98,143.03334,mpeg4,176,144,51082,Entertainment,12,31,1685,0,1716,56405,856907,0,913312,h264,109000,25,1920,1080,628592,47.987
99,448.575,vp8,1280,720,2052426,Comedy,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,vp8,242000,12,640,480,217080,10.741
100,645.84,vp8,320,240,95903,Sports,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,h264,3000000,24,1280,720,319024,70.936
101,106.765,h264,1280,720,849586,Sports,25,66,2603,0,2669,4427240,6911026,0,11338266,h264,5000000,25,1920,1080,699572,77.993
102,39.055,h264,1920,1080,5992818,Comedy,30,26,1144,0,1170,839251,28416939,0,29256190,h264,242000,25,320,240,216020,17.193
103,37.011665,h264,1280,720,2759449,Film & Animation,29,21,1088,0,1109,1899633,10866846,0,12766479,vp8,242000,25,480,360,219480,13.349
104,385.052,vp8,1280,720,441862,Education,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,vp8,820000,29.97,1280,720,219480,13.341
105,203.198,flv,320,240,239336,Sports,29,104,5974,0,6078,853613,5225468,0,6079081,mpeg4,539000,25,1920,1080,221160,13.465
106,473,h264,320,240,164017,Gaming,25,198,10924,704,11826,1419320,8047423,0,9697521,h264,5000000,25,480,360,220900,24.81
107,1140.349,vp8,1280,720,2394626,Music,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,h264,109000,24,640,480,219480,15.221
108,385.052,vp8,1280,720,441862,Gaming,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,vp8,242000,25,1920,1080,219480,34.094
109,225.08,h264,480,360,538452,People & Blogs,25,113,5515,0,5628,1873408,13275961,0,15149369,vp8,56000,25,1280,720,216820,13.025
110,157.80167,h264,1280,720,2885589,Gaming,25,72,3873,0,3945,5611970,51306874,0,56918844,mpeg4,5000000,25,1920,1080,216020,14.469
111,395.44,vp8,1280,720,1611942,Entertainment,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,h264,109000,12,1920,1080,662180,15.561
112,37.011665,h264,1280,720,2759449,Entertainment,29,21,1088,0,1109,1899633,10866846,0,12766479,vp8,5000000,12,640,480,219480,15.269
113,250.017,h264,320,240,153059,Autos & Vehicles,29,128,7366,0,7494,856855,3926589,0,4783444,h264,5000000,15,480,360,218932,13.685
114,222.53334,h264,480,360,500449,Travel & Events,30,219,6457,0,6676,2821722,11099102,0,13920824,h264,820000,29.97,640,480,217348,18.577
115,273.816,vp8,1920,1080,1571003,Gaming,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,5000000,25,320,240,219656,17.701
116,59.883,vp8,1280,720,994960,Gaming,30.38983,13,1780,0,1793,481774,6965881,0,7447655,vp8,5000000,29.97,640,480,158140,11.797
117,458.625,h264,640,480,517364,Sports,29,245,13501,0,13746,5308581,24350943,0,29659524,vp8,820000,25,1920,1080,216820,35.234
118,222.53334,h264,480,360,500449,People & Blogs,30,219,6457,0,6676,2821722,11099102,0,13920824,vp8,5000000,25,1920,1080,217348,47.743
119,448.575,vp8,1280,720,2052426,Entertainment,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,h264,242000,24,1920,1080,657080,53.871
120,189.956,flv,320,240,231296,Autos & Vehicles,29,97,5597,0,5694,580292,4911734,0,5492026,mpeg4,5000000,25,1920,1080,218664,14.409
121,714.371,vp8,1280,720,652356,Autos & Vehicles,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,5000000,25,640,480,165668,35.046
122,95.462,h264,640,480,809256,People & Blogs,29,51,2811,0,2862,886496,8770159,0,9656655,vp8,56000,15,1920,1080,221160,24.07
123,476.957,vp8,1280,720,1387100,People & Blogs,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,h264,242000,25,640,480,165700,14.445
124,581.233,h264,480,360,295979,Entertainment,30,310,17128,0,17438,10151572,11352574,0,21504146,h264,242000,12,1280,720,321692,17.869
125,59.883,vp8,1280,720,994960,People & Blogs,30.38983,13,1780,0,1793,481774,6965881,0,7447655,h264,820000,15,1920,1080,652972,60.984
126,292.092,h264,480,360,480125,Entertainment,29,156,8599,0,8755,2375028,15155062,0,17530090,mpeg4,3000000,29.97,1280,720,219480,14.233
127,395.44,vp8,1280,720,1611942,Education,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,h264,539000,24,1280,720,315160,23.169
128,80.536,h264,480,360,690041,Entertainment,29,43,2374,0,2417,618732,6327913,0,6946645,vp8,820000,24,1280,720,219480,28.31
129,157.891,h264,480,360,406908,Sports,29,87,4646,0,4733,1776729,6254165,0,8030894,vp8,242000,24,1280,720,219464,17.297
130,49.178333,mpeg4,176,144,54338,Comedy,7,10,334,0,344,33046,300986,0,334032,h264,56000,24,1920,1080,651232,24.854
131,239.14166,h264,480,360,500198,Music,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,539000,25,480,360,120140,13.069
132,49.178333,mpeg4,176,144,54338,Entertainment,7,10,334,0,344,33046,300986,0,334032,h264,109000,12,1280,720,316652,10.549
133,458.625,h264,640,480,517364,Comedy,29,245,13501,0,13746,5308581,24350943,0,29659524,vp8,820000,15,1920,1080,216820,23.673
134,473,h264,320,240,164017,People & Blogs,25,198,10924,704,11826,1419320,8047423,0,9697521,vp8,820000,29.97,1920,1080,220900,40.775
135,49.178333,mpeg4,176,144,54338,Music,7,10,334,0,344,33046,300986,0,334032,h264,820000,29.97,1280,720,322872,29.122
136,906.5983,mpeg4,176,144,56108,Howto & Style,12,187,10692,0,10879,597549,5760936,0,6358485,h264,242000,15,1920,1080,648212,32.71
137,110.966995,h264,480,360,397112,Pets & Animals,30,59,3271,0,3330,529627,4978664,0,5508291,h264,3000000,12,1920,1080,642716,93.59
138,239.14166,h264,480,360,500198,News & Politics,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,109000,29.97,1280,720,335224,25.342
139,37.011665,h264,1280,720,2759449,Music,29,21,1088,0,1109,1899633,10866846,0,12766479,h264,5000000,24,480,360,219480,30.97
140,189.956,flv,320,240,231296,Gaming,29,97,5597,0,5694,580292,4911734,0,5492026,h264,56000,12,1280,720,310076,10.821
141,127.221664,h264,1920,1080,3080852,Music,23,70,2980,0,3050,3818903,45174992,0,48993895,mpeg4,109000,12,1920,1080,217348,11.517
142,204.938,h264,480,360,297373,Entertainment,16,111,3169,0,3280,1451634,6166260,0,7617894,vp8,539000,24,1280,720,83372,12.333
143,290.01666,mpeg4,176,144,52783,Gaming,12,61,3417,0,3478,119325,1794184,0,1913509,h264,539000,15,1280,720,308772,26.538
144,157.891,h264,480,360,406908,Pets & Animals,29,87,4646,0,4733,1776729,6254165,0,8030894,h264,3000000,24,640,480,219464,19.937
145,157.891,h264,480,360,406908,Music,29,87,4646,0,4733,1776729,6254165,0,8030894,mpeg4,3000000,29.97,1920,1080,219464,16.461
146,254.922,vp8,480,360,260667,Science & Technology,30.062992,51,7585,0,7636,918325,7387906,0,8306231,h264,3000000,25,640,480,221160,32.066
147,42.2,h264,480,360,288705,Music,25,23,1033,0,1056,216154,1306770,0,1522924,h264,820000,25,640,480,216820,13.065
148,273.816,vp8,1920,1080,1571003,Gaming,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,3000000,25,640,480,219656,36.566
149,239.14166,h264,480,360,500198,Autos & Vehicles,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,820000,15,640,480,149568,17.329
150,33.09,h264,320,240,279173,People & Blogs,13,22,434,0,456,101794,1052937,0,1154731,mpeg4,242000,29.97,1920,1080,219480,15.669
151,157.80167,h264,1280,720,2885589,Sports,25,72,3873,0,3945,5611970,51306874,0,56918844,vp8,3000000,24,640,480,216056,13.121
152,203.198,flv,320,240,239336,People & Blogs,29,104,5974,0,6078,853613,5225468,0,6079081,vp8,5000000,24,1280,720,221160,30.574
153,80.536,h264,480,360,690041,People & Blogs,29,43,2374,0,2417,618732,6327913,0,6946645,h264,56000,24,1280,720,328996,25.558
154,311.1,mpeg4,176,144,56416,Music,12,113,3620,0,3733,127552,2066350,0,2193902,mpeg4,56000,29.97,1920,1080,221160,13.329
155,217.518,h264,480,360,83054,People & Blogs,29,112,6408,0,6520,406683,1851539,0,2258222,h264,820000,29.97,1920,1080,648404,61.816
156,107.443,vp8,480,360,320011,People & Blogs,30.093458,30,3190,0,3220,671936,3625932,0,4297868,h264,5000000,29.97,320,240,216820,11.025
157,203.198,flv,320,240,239336,Science & Technology,29,104,5974,0,6078,853613,5225468,0,6079081,h264,3000000,29.97,1280,720,300168,67.796
158,131.76,vp8,640,480,104723,People & Blogs,25.145039,37,3257,0,3294,945865,778937,0,1724802,vp8,3000000,12,1920,1080,221152,15.653
159,286.995,h264,480,360,508160,Music,23,156,6726,0,6882,2285153,15944803,0,18229956,mpeg4,56000,25,1280,720,216820,10.169
160,110.966995,h264,480,360,397112,Gaming,30,59,3271,0,3330,529627,4978664,0,5508291,h264,56000,15,1920,1080,643256,28.178
161,157.80167,h264,1280,720,2885589,Entertainment,25,72,3873,0,3945,5611970,51306874,0,56918844,h264,3000000,25,480,360,216064,21.749
162,39.055,h264,1920,1080,5992818,Entertainment,30,26,1144,0,1170,839251,28416939,0,29256190,mpeg4,820000,25,320,240,215848,10.049
163,326.58832,h264,1920,1080,5999648,Music,23,174,7656,0,7830,16603953,228322925,0,244926878,vp8,820000,25,1280,720,218932,38.21
164,127.221664,h264,1920,1080,3080852,People & Blogs,23,70,2980,0,3050,3818903,45174992,0,48993895,mpeg4,242000,25,1920,1080,217348,16.009
165,34.168,vp8,480,360,186895,Education,30.029411,16,1005,0,1021,238485,559745,0,798230,vp8,5000000,24,1280,720,165700,16.397
166,290.01666,mpeg4,176,144,52783,Science & Technology,12,61,3417,0,3478,119325,1794184,0,1913509,mpeg4,109000,29.97,1920,1080,125668,13.757
167,286.995,h264,480,360,508160,Autos & Vehicles,23,156,6726,0,6882,2285153,15944803,0,18229956,mpeg4,820000,29.97,1280,720,216820,11.505
168,69.93833,mpeg4,176,144,56717,News & Politics,12,14,825,0,839,47521,448322,0,495843,h264,242000,12,1920,1080,637032,25.782
169,222.53334,h264,480,360,500449,Music,30,219,6457,0,6676,2821722,11099102,0,13920824,mpeg4,820000,29.97,1920,1080,217336,15.213
170,203.198,flv,320,240,239336,People & Blogs,29,104,5974,0,6078,853613,5225468,0,6079081,h264,5000000,24,640,480,221160,27.07
171,316.95166,mpeg4,176,144,55396,Film & Animation,12,64,3739,0,3803,111850,2082902,0,2194752,vp8,539000,24,1920,1080,165700,22.061
172,74.535,mpeg4,176,144,55305,Sports,12,15,879,0,894,23996,491276,0,515272,vp8,5000000,29.97,1280,720,219464,11.613
173,326.58832,h264,1920,1080,5999648,Sports,23,174,7656,0,7830,16603953,228322925,0,244926878,mpeg4,56000,12,1280,720,218932,10.033
174,326.58832,h264,1920,1080,5999648,Gaming,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,56000,25,1920,1080,698656,55.231
175,379.32,h264,480,360,181960,Music,25,195,9289,0,9484,3392479,5235193,0,8627672,h264,242000,24,1920,1080,654448,36.33
176,127.221664,h264,1920,1080,3080852,Gaming,23,70,2980,0,3050,3818903,45174992,0,48993895,h264,3000000,25,1920,1080,710576,129.9
177,750.433,vp8,1280,720,794075,News & Politics,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,vp8,539000,25,1280,720,165700,15.209
178,39.055,h264,1920,1080,5992818,People & Blogs,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,242000,15,320,240,215848,10.493
179,292.092,h264,480,360,480125,People & Blogs,29,156,8599,0,8755,2375028,15155062,0,17530090,h264,820000,24,1280,720,323196,51.211
180,273.816,vp8,1920,1080,1571003,Comedy,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,vp8,3000000,24,1920,1080,219656,47.019
181,33.09,h264,320,240,279173,People & Blogs,13,22,434,0,456,101794,1052937,0,1154731,vp8,242000,24,1280,720,219480,11.581
182,107.443,vp8,480,360,320011,Music,30.093458,30,3190,0,3220,671936,3625932,0,4297868,h264,3000000,25,640,480,216820,25.294
183,316.95166,mpeg4,176,144,55396,People & Blogs,12,64,3739,0,3803,111850,2082902,0,2194752,mpeg4,539000,25,1920,1080,165700,11.533
184,37.011665,h264,1280,720,2759449,Comedy,29,21,1088,0,1109,1899633,10866846,0,12766479,h264,5000000,29.97,1920,1080,674572,189.5
185,645.84,vp8,320,240,95903,Gaming,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,vp8,242000,15,1920,1080,218932,21.677
186,74.815,vp8,640,480,454242,Autos & Vehicles,30.297297,28,2214,0,2242,1065852,3182166,0,4248018,h264,3000000,29.97,1920,1080,662784,87.725
187,127.221664,h264,1920,1080,3080852,Sports,23,70,2980,0,3050,3818903,45174992,0,48993895,h264,3000000,24,1920,1080,711424,129.02
188,326.583,vp8,640,480,1055982,Music,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,vp8,539000,25,1920,1080,212772,38.274
189,80.536,h264,480,360,690041,Music,29,43,2374,0,2417,618732,6327913,0,6946645,h264,3000000,29.97,1920,1080,666852,169.143
190,290.01666,mpeg4,176,144,52783,News & Politics,12,61,3417,0,3478,119325,1794184,0,1913509,vp8,109000,24,1920,1080,132132,18.301
191,167.39166,h264,1280,720,2207484,Film & Animation,24,86,3931,0,4017,4369420,41819887,0,46189307,vp8,539000,24,1920,1080,219656,38.958
192,163.897,flv,320,240,267032,News & Politics,29,87,4826,0,4913,824159,4646573,0,5470732,vp8,539000,29.97,1920,1080,219656,38.93
193,750.433,vp8,1280,720,794075,Comedy,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,h264,3000000,29.97,1920,1080,681788,88.806
194,167.39166,h264,1280,720,2207484,Gaming,24,86,3931,0,4017,4369420,41819887,0,46189307,h264,539000,25,320,240,219656,10.709
