id,duration,codec,width,height,bitrate,category,framerate,i,p,b,frames,i_size,p_size,b_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,umem
12027,107.443,vp8,480,360,320011,People & Blogs,30.093458,30,3190,0,3220,671936,3625932,0,4297868,vp8,539000,25,1920,1080,216820
12028,290.01666,mpeg4,176,144,52783,People & Blogs,12,61,3417,0,3478,119325,1794184,0,1913509,h264,56000,15,1920,1080,628432
12029,473,h264,320,240,164017,Gaming,25,198,10924,704,11826,1419320,8047423,0,9697521,h264,56000,12,1280,720,318628
12030,448.575,vp8,1280,720,2052426,People & Blogs,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,vp8,820000,12,1920,1080,217080
12031,157.80167,h264,1280,720,2885589,Gaming,25,72,3873,0,3945,5611970,51306874,0,56918844,h264,56000,25,640,480,216064
12032,384.451,h264,640,480,646432,Music,29,205,11318,0,11523,2839955,28225248,0,31065203,h264,820000,24,1920,1080,681384
12033,273.816,vp8,1920,1080,1571003,Entertainment,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,56000,25,480,360,219656
12034,292.092,h264,480,360,480125,Music,29,156,8599,0,8755,2375028,15155062,0,17530090,h264,5000000,15,1280,720,324252
12035,39.055,h264,1920,1080,5992818,Entertainment,30,26,1144,0,1170,839251,28416939,0,29256190,h264,820000,25,176,144,216020
12036,286.995,h264,480,360,508160,People & Blogs,23,156,6726,0,6882,2285153,15944803,0,18229956,vp8,539000,24,1920,1080,216820
12037,106.765,h264,1280,720,849586,Music,25,66,2603,0,2669,4427240,6911026,0,11338266,h264,242000,25,640,480,219480
12038,256.20834,mpeg4,176,144,57565,Gaming,12,56,3018,0,3074,302900,1540700,0,1843600,h264,5000000,15,1280,720,325108
12039,74.535,mpeg4,176,144,55305,People & Blogs,12,15,879,0,894,23996,491276,0,515272,h264,3000000,12,1280,720,310732
12040,77.233,h264,480,360,382461,Music,30,53,2265,0,2318,182297,3510033,0,3692330,h264,539000,29.97,640,480,219480
12041,43.827,flv,320,240,272273,Entertainment,25,23,1081,0,1104,137210,1354404,0,1491614,h264,820000,24,1920,1080,609564
12042,286.995,h264,480,360,508160,Gaming,23,156,6726,0,6882,2285153,15944803,0,18229956,vp8,820000,15,1280,720,216820
12043,64.933,flv,320,240,236793,Gaming,15,39,936,0,975,318954,1603007,0,1921961,vp8,539000,24,1280,720,217080
12044,107.443,vp8,480,360,320011,People & Blogs,30.093458,30,3190,0,3220,671936,3625932,0,4297868,vp8,539000,24,1920,1080,216820
12045,69.93833,mpeg4,176,144,56717,People & Blogs,12,14,825,0,839,47521,448322,0,495843,h264,820000,12,1280,720,309904
12046,316.95166,mpeg4,176,144,55396,Music,12,64,3739,0,3803,111850,2082902,0,2194752,vp8,242000,15,1280,720,165700
12047,127.221664,h264,1920,1080,3080852,Sports,23,70,2980,0,3050,3818903,45174992,0,48993895,vp8,5000000,12,1920,1080,217436
12048,311.1,mpeg4,176,144,56416,People & Blogs,12,113,3620,0,3733,127552,2066350,0,2193902,mpeg4,820000,24,1920,1080,221160
12049,39.055,h264,1920,1080,5992818,Gaming,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,5000000,15,1280,720,216020
12050,339.667,h264,640,480,257699,People & Blogs,30,181,10010,0,10191,10121223,820261,0,10941484,vp8,242000,12,1920,1080,219480
12051,269.11835,h264,1280,720,2494855,Gaming,29,152,7913,0,8065,11512237,72414199,0,83926436,h264,3000000,15,320,240,97564
12052,131.76,vp8,640,480,104723,Entertainment,25.145039,37,3257,0,3294,945865,778937,0,1724802,mpeg4,5000000,29.97,1920,1080,221152
12053,143.03334,mpeg4,176,144,51082,Pets & Animals,12,31,1685,0,1716,56405,856907,0,913312,mpeg4,56000,24,1920,1080,219480
12054,458.625,h264,640,480,517364,People & Blogs,29,245,13501,0,13746,5308581,24350943,0,29659524,h264,820000,29.97,640,480,216820
12055,476.957,vp8,1280,720,1387100,Sports,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,h264,109000,24,1920,1080,675796
12056,239.14166,h264,480,360,500198,Entertainment,25,110,5868,0,5978,1406751,13545526,0,14952277,vp8,3000000,12,1920,1080,104560
12057,217.518,h264,480,360,83054,Autos & Vehicles,29,112,6408,0,6520,406683,1851539,0,2258222,vp8,5000000,24,1280,720,217080
12058,440.967,h264,320,240,281642,Sports,30,236,12994,0,13230,2444863,13079542,0,15524405,vp8,539000,15,1280,720,219656
12059,59.883,vp8,1280,720,994960,People & Blogs,30.38983,13,1780,0,1793,481774,6965881,0,7447655,h264,242000,24,1280,720,321140
12060,860.056,vp8,1280,720,2688309,Education,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,flv,56000,25,1920,1080,262784
12061,43.827,flv,320,240,272273,Gaming,25,23,1081,0,1104,137210,1354404,0,1491614,h264,242000,29.97,480,360,218932
12062,80.536,h264,480,360,690041,Entertainment,29,43,2374,0,2417,618732,6327913,0,6946645,mpeg4,5000000,24,1920,1080,219480
12063,127.221664,h264,1920,1080,3080852,Education,23,70,2980,0,3050,3818903,45174992,0,48993895,vp8,820000,15,1920,1080,217436
12064,34.168,vp8,480,360,186895,People & Blogs,30.029411,16,1005,0,1021,238485,559745,0,798230,h264,539000,29.97,1920,1080,635568
12065,39.055,h264,1920,1080,5992818,Entertainment,30,26,1144,0,1170,839251,28416939,0,29256190,mpeg4,820000,15,640,480,215848
12066,273.816,vp8,1920,1080,1571003,People & Blogs,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,mpeg4,820000,25,1920,1080,219656
12067,860.056,vp8,1280,720,2688309,Education,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,vp8,539000,12,480,360,262064
12068,67.583336,mpeg4,176,144,51225,Gaming,12,15,777,0,792,47585,385164,0,432749,h264,3000000,29.97,640,480,219480
12069,326.58832,h264,1920,1080,5999648,Music,23,174,7656,0,7830,16603953,228322925,0,244926878,vp8,109000,24,640,480,218932
12070,59.883,vp8,1280,720,994960,People & Blogs,30.38983,13,1780,0,1793,481774,6965881,0,7447655,h264,539000,12,1920,1080,650736
12071,326.58832,h264,1920,1080,5999648,People & Blogs,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,820000,29.97,176,144,218932
12072,273.816,vp8,1920,1080,1571003,News & Politics,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,56000,12,1280,720,350256
12073,39.055,h264,1920,1080,5992818,Comedy,30,26,1144,0,1170,839251,28416939,0,29256190,flv,3000000,25,1280,720,216020
12074,95.462,h264,640,480,809256,Autos & Vehicles,29,51,2811,0,2862,886496,8770159,0,9656655,mpeg4,242000,25,1920,1080,221160
12075,426.945,h264,1280,720,1064703,People & Blogs,29,228,12567,0,12795,11297544,45523691,0,56821235,vp8,820000,24,640,480,219480
12076,143.03334,mpeg4,176,144,51082,Gaming,12,31,1685,0,1716,56405,856907,0,913312,vp8,3000000,25,1920,1080,219480
12077,239.14166,h264,480,360,500198,News & Politics,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,539000,24,480,360,119808
12078,239.14166,h264,480,360,500198,Comedy,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,56000,24,1920,1080,676456
12079,225.08,h264,480,360,538452,Science & Technology,25,113,5515,0,5628,1873408,13275961,0,15149369,h264,820000,29.97,640,480,216820
12080,167.39166,h264,1280,720,2207484,Music,24,86,3931,0,4017,4369420,41819887,0,46189307,vp8,56000,24,1920,1080,219656
12081,340.424,flv,320,240,244491,Gaming,11,69,4012,0,4081,1168939,9234909,0,10403848,mpeg4,820000,24,1920,1080,221152
12082,473,h264,320,240,164017,Science & Technology,25,198,10924,704,11826,1419320,8047423,0,9697521,h264,109000,29.97,1280,720,318664
12083,86.486,h264,640,480,356037,Music,29,46,2547,0,2593,819680,3029350,0,3849030,h264,3000000,15,1280,720,336500
12084,157.891,h264,480,360,406908,Howto & Style,29,87,4646,0,4733,1776729,6254165,0,8030894,h264,5000000,15,1920,1080,661280
12085,440.967,h264,320,240,281642,Autos & Vehicles,30,236,12994,0,13230,2444863,13079542,0,15524405,vp8,820000,12,1920,1080,219656
12086,290.01666,mpeg4,176,144,52783,Travel & Events,12,61,3417,0,3478,119325,1794184,0,1913509,vp8,109000,12,1920,1080,131212
12087,290.01666,mpeg4,176,144,52783,Comedy,12,61,3417,0,3478,119325,1794184,0,1913509,mpeg4,5000000,29.97,1920,1080,130204
12088,217.518,h264,480,360,83054,People & Blogs,29,112,6408,0,6520,406683,1851539,0,2258222,h264,3000000,25,1920,1080,654076
12089,127.221664,h264,1920,1080,3080852,Pets & Animals,23,70,2980,0,3050,3818903,45174992,0,48993895,h264,56000,25,640,480,217544
12090,339.667,h264,640,480,257699,People & Blogs,30,181,10010,0,10191,10121223,820261,0,10941484,vp8,539000,24,1280,720,219480
12091,750.433,vp8,1280,720,794075,Shows,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,h264,539000,24,640,480,170232
12092,37.011665,h264,1280,720,2759449,Nonprofits & Activis,29,21,1088,0,1109,1899633,10866846,0,12766479,mpeg4,56000,29.97,1920,1080,219480
12093,143.03334,mpeg4,176,144,51082,Entertainment,12,31,1685,0,1716,56405,856907,0,913312,h264,56000,29.97,1280,720,308912
12094,326.58832,h264,1920,1080,5999648,Autos & Vehicles,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,56000,24,1280,720,391756
12095,127.221664,h264,1920,1080,3080852,Entertainment,23,70,2980,0,3050,3818903,45174992,0,48993895,vp8,539000,24,1280,720,217348
12096,127.221664,h264,1920,1080,3080852,Sports,23,70,2980,0,3050,3818903,45174992,0,48993895,mpeg4,820000,15,1920,1080,217348
12097,69.933,flv,320,240,272898,Travel & Events,15,37,1013,0,1050,349781,2035796,0,2385577,vp8,5000000,29.97,1920,1080,219656
12098,59.883,vp8,1280,720,994960,People & Blogs,30.38983,13,1780,0,1793,481774,6965881,0,7447655,h264,56000,12,1920,1080,651556
12099,59.883,vp8,1280,720,994960,People & Blogs,30.38983,13,1780,0,1793,481774,6965881,0,7447655,h264,820000,24,480,360,162908
12100,490.6,h264,480,360,300437,Music,25,256,12010,0,12266,1448177,16976151,0,18424328,h264,242000,25,640,480,219480
12101,143.03334,mpeg4,176,144,51082,Education,12,31,1685,0,1716,56405,856907,0,913312,h264,242000,29.97,1920,1080,631100
12102,39.055,h264,1920,1080,5992818,Music,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,539000,24,320,240,215940
12103,1768.9417,mpeg4,176,144,56152,People & Blogs,12,354,20873,0,21227,1382103,11034284,0,12416387,h264,820000,24,640,480,244492
12104,63.667,h264,640,480,972572,Gaming,15,33,923,0,956,1259657,6480438,0,7740095,h264,242000,12,1280,720,327420
12105,1140.349,vp8,1280,720,2394626,Entertainment,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,mpeg4,539000,25,1920,1080,219480
12106,1140.349,vp8,1280,720,2394626,Gaming,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,vp8,820000,29.97,1920,1080,219480
12107,95.462,h264,640,480,809256,Music,29,51,2811,0,2862,886496,8770159,0,9656655,h264,5000000,24,480,360,221160
12108,448.575,vp8,1280,720,2052426,Education,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,vp8,5000000,15,480,360,217080
12109,385.052,vp8,1280,720,441862,People & Blogs,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,vp8,56000,24,1280,720,219480
12110,311.1,mpeg4,176,144,56416,Film & Animation,12,113,3620,0,3733,127552,2066350,0,2193902,vp8,242000,29.97,1920,1080,221160
12111,326.583,vp8,640,480,1055982,Gaming,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,h264,242000,29.97,1920,1080,653264
12112,239.14166,h264,480,360,500198,Nonprofits & Activis,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,5000000,15,1920,1080,677444
12113,106.765,h264,1280,720,849586,People & Blogs,25,66,2603,0,2669,4427240,6911026,0,11338266,h264,5000000,12,1280,720,344772
12114,290.01666,mpeg4,176,144,52783,Gaming,12,61,3417,0,3478,119325,1794184,0,1913509,vp8,539000,25,1280,720,132928
12115,384.451,h264,640,480,646432,People & Blogs,29,205,11318,0,11523,2839955,28225248,0,31065203,mpeg4,109000,29.97,1280,720,217544
12116,167.39166,h264,1280,720,2207484,Music,24,86,3931,0,4017,4369420,41819887,0,46189307,h264,3000000,25,640,480,219656
12117,581.233,h264,480,360,295979,Comedy,30,310,17128,0,17438,10151572,11352574,0,21504146,h264,56000,15,1920,1080,647896
12118,282.56,h264,640,480,559834,Comedy,25,145,6920,0,7065,4966509,14806840,0,19773349,h264,5000000,25,640,480,221152
12119,714.371,vp8,1280,720,652356,Gaming,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,5000000,24,320,240,165564
12120,67.583336,mpeg4,176,144,51225,Comedy,12,15,777,0,792,47585,385164,0,432749,h264,242000,29.97,1280,720,309184
12121,176.901,vp8,480,360,26968,People & Blogs,25.113636,38,4382,0,4420,393395,202954,0,596349,h264,56000,25,1920,1080,653376
12122,37.011665,h264,1280,720,2759449,Music,29,21,1088,0,1109,1899633,10866846,0,12766479,h264,109000,15,1280,720,333640
12123,39.055,h264,1920,1080,5992818,People & Blogs,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,242000,12,1920,1080,215848
12124,452.689,vp8,320,240,66680,Gaming,5.7057524,42,2537,0,2579,207037,3566163,0,3773200,h264,109000,25,1920,1080,646232
12125,127.221664,h264,1920,1080,3080852,People & Blogs,23,70,2980,0,3050,3818903,45174992,0,48993895,vp8,5000000,25,1920,1080,217436
12126,63.667,h264,640,480,972572,Music,15,33,923,0,956,1259657,6480438,0,7740095,h264,820000,29.97,640,480,219656
12127,254.922,vp8,480,360,260667,Entertainment,30.062992,51,7585,0,7636,918325,7387906,0,8306231,h264,56000,24,1280,720,315556
12128,95.462,h264,640,480,809256,People & Blogs,29,51,2811,0,2862,886496,8770159,0,9656655,h264,820000,12,1920,1080,678424
12129,33.09,h264,320,240,279173,People & Blogs,13,22,434,0,456,101794,1052937,0,1154731,h264,56000,24,1920,1080,629432
12130,239.14166,h264,480,360,500198,People & Blogs,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,3000000,29.97,640,480,150092
12131,37.011665,h264,1280,720,2759449,People & Blogs,29,21,1088,0,1109,1899633,10866846,0,12766479,vp8,109000,24,480,360,219480
12132,473,h264,320,240,164017,Sports,25,198,10924,704,11826,1419320,8047423,0,9697521,h264,242000,15,1280,720,318536
12133,250.017,h264,320,240,153059,Entertainment,29,128,7366,0,7494,856855,3926589,0,4783444,h264,539000,29.97,480,360,218932
12134,176.901,vp8,480,360,26968,People & Blogs,25.113636,38,4382,0,4420,393395,202954,0,596349,h264,5000000,24,1920,1080,653976
12135,290.01666,mpeg4,176,144,52783,Music,12,61,3417,0,3478,119325,1794184,0,1913509,mpeg4,820000,24,1920,1080,128640
12136,282.56,h264,640,480,559834,Entertainment,25,145,6920,0,7065,4966509,14806840,0,19773349,vp8,820000,15,1920,1080,221152
12137,42.2,h264,480,360,288705,Pets & Animals,25,23,1033,0,1056,216154,1306770,0,1522924,mpeg4,5000000,25,1920,1080,216820
12138,1140.349,vp8,1280,720,2394626,People & Blogs,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,vp8,242000,29.97,1920,1080,219480
12139,106.765,h264,1280,720,849586,Sports,25,66,2603,0,2669,4427240,6911026,0,11338266,h264,242000,12,1280,720,341860
12140,476.957,vp8,1280,720,1387100,Music,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,h264,3000000,12,1920,1080,670736
12141,339.667,h264,640,480,257699,Music,30,181,10010,0,10191,10121223,820261,0,10941484,mpeg4,56000,25,1920,1080,219480
12142,645.84,vp8,320,240,95903,Music,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,vp8,3000000,24,1920,1080,219200
12143,270.655,vp8,640,480,652967,Music,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,h264,56000,15,1920,1080,640540
12144,286.995,h264,480,360,508160,Autos & Vehicles,23,156,6726,0,6882,2285153,15944803,0,18229956,mpeg4,820000,24,1920,1080,216820
12145,860.056,vp8,1280,720,2688309,Sports,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,vp8,539000,29.97,320,240,262308
12146,86.486,h264,640,480,356037,Entertainment,29,46,2547,0,2593,819680,3029350,0,3849030,mpeg4,109000,25,1920,1080,219656
12147,167.39166,h264,1280,720,2207484,Music,24,86,3931,0,4017,4369420,41819887,0,46189307,h264,3000000,12,1280,720,345652
12148,292.092,h264,480,360,480125,Comedy,29,156,8599,0,8755,2375028,15155062,0,17530090,vp8,820000,24,640,480,219480
12149,326.58832,h264,1920,1080,5999648,Comedy,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,820000,24,320,240,218932
12150,110.966995,h264,480,360,397112,People & Blogs,30,59,3271,0,3330,529627,4978664,0,5508291,mpeg4,539000,25,1920,1080,216820
12151,49.178333,mpeg4,176,144,54338,Entertainment,7,10,334,0,344,33046,300986,0,334032,h264,56000,29.97,1280,720,322304
12152,86.486,h264,640,480,356037,Education,29,46,2547,0,2593,819680,3029350,0,3849030,h264,820000,15,1920,1080,668248
12153,189.956,flv,320,240,231296,People & Blogs,29,97,5597,0,5694,580292,4911734,0,5492026,h264,109000,12,1920,1080,637128
12154,273.816,vp8,1920,1080,1571003,People & Blogs,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,820000,25,320,240,219656
12155,34.168,vp8,480,360,186895,Music,30.029411,16,1005,0,1021,238485,559745,0,798230,h264,56000,15,1280,720,310816
12156,177.33333,mpeg4,176,144,53707,Music,12,37,2091,0,2128,100969,1089548,0,1190517,vp8,109000,12,1920,1080,163024
12157,906.5983,mpeg4,176,144,56108,Music,12,187,10692,0,10879,597549,5760936,0,6358485,mpeg4,109000,29.97,1920,1080,165668
12158,204.938,h264,480,360,297373,People & Blogs,16,111,3169,0,3280,1451634,6166260,0,7617894,vp8,3000000,12,1920,1080,98692
12159,255.28,flv,320,240,250276,Shows,25,110,6272,0,6382,611474,7374864,0,7986338,h264,242000,12,1920,1080,628792
12160,326.58832,h264,1920,1080,5999648,Music,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,242000,25,1280,720,391112
12161,255.28,flv,320,240,250276,Entertainment,25,110,6272,0,6382,611474,7374864,0,7986338,h264,539000,24,1920,1080,639100
12162,645.84,vp8,320,240,95903,People & Blogs,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,h264,109000,25,640,480,219200
12163,37.011665,h264,1280,720,2759449,Comedy,29,21,1088,0,1109,1899633,10866846,0,12766479,mpeg4,820000,12,1920,1080,219480
12164,906.5983,mpeg4,176,144,56108,Music,12,187,10692,0,10879,597549,5760936,0,6358485,vp8,539000,25,1920,1080,165668
12165,39.055,h264,1920,1080,5992818,Comedy,30,26,1144,0,1170,839251,28416939,0,29256190,h264,109000,12,1920,1080,678764
12166,176.901,vp8,480,360,26968,Entertainment,25.113636,38,4382,0,4420,393395,202954,0,596349,h264,820000,15,1920,1080,593920
12167,326.58832,h264,1920,1080,5999648,Sports,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,3000000,24,480,360,218932
12168,326.58832,h264,1920,1080,5999648,Comedy,23,174,7656,0,7830,16603953,228322925,0,244926878,mpeg4,109000,15,1280,720,218932
12169,59.883,vp8,1280,720,994960,Entertainment,30.38983,13,1780,0,1793,481774,6965881,0,7447655,h264,539000,29.97,1280,720,320156
12170,127.221664,h264,1920,1080,3080852,Pets & Animals,23,70,2980,0,3050,3818903,45174992,0,48993895,h264,56000,25,1280,720,392860
12171,379.32,h264,480,360,181960,Autos & Vehicles,25,195,9289,0,9484,3392479,5235193,0,8627672,mpeg4,5000000,24,1920,1080,219464
12172,127.221664,h264,1920,1080,3080852,Entertainment,23,70,2980,0,3050,3818903,45174992,0,48993895,vp8,109000,15,1920,1080,217348
12173,39.68,vp8,480,360,236342,People & Blogs,30.461538,8,1180,0,1188,91640,1080618,0,1172258,h264,56000,29.97,1920,1080,632236
12174,127.221664,h264,1920,1080,3080852,Education,23,70,2980,0,3050,3818903,45174992,0,48993895,h264,3000000,24,480,360,217544
12175,39.055,h264,1920,1080,5992818,Music,30,26,1144,0,1170,839251,28416939,0,29256190,mpeg4,5000000,29.97,320,240,215848
12176,143.03334,mpeg4,176,144,51082,Science & Technology,12,31,1685,0,1716,56405,856907,0,913312,h264,820000,15,1280,720,307984
12177,157.80167,h264,1280,720,2885589,People & Blogs,25,72,3873,0,3945,5611970,51306874,0,56918844,h264,5000000,25,640,480,216064
12178,714.371,vp8,1280,720,652356,Education,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,820000,12,1920,1080,673660
12179,69.933,flv,320,240,272898,Entertainment,15,37,1013,0,1050,349781,2035796,0,2385577,vp8,820000,29.97,1920,1080,219656
12180,750.433,vp8,1280,720,794075,Science & Technology,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,vp8,109000,29.97,1920,1080,165700
12181,254.922,vp8,480,360,260667,Entertainment,30.062992,51,7585,0,7636,918325,7387906,0,8306231,mpeg4,242000,29.97,1280,720,221160
12182,292.092,h264,480,360,480125,People & Blogs,29,156,8599,0,8755,2375028,15155062,0,17530090,mpeg4,109000,29.97,1920,1080,219480
12183,270.655,vp8,640,480,652967,Comedy,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,h264,539000,15,480,360,219480
12184,395.44,vp8,1280,720,1611942,Sports,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,mpeg4,109000,29.97,1920,1080,221160
12185,714.371,vp8,1280,720,652356,Sports,29.981792,143,21264,0,21407,14532530,43720516,0,58253046,h264,5000000,12,640,480,165564
12186,384.451,h264,640,480,646432,People & Blogs,29,205,11318,0,11523,2839955,28225248,0,31065203,h264,3000000,25,480,360,217852
12187,63.667,h264,640,480,972572,Music,15,33,923,0,956,1259657,6480438,0,7740095,h264,3000000,12,640,480,219656
12188,270.655,vp8,640,480,652967,People & Blogs,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,h264,5000000,24,640,480,219480
12189,311.1,mpeg4,176,144,56416,Music,12,113,3620,0,3733,127552,2066350,0,2193902,h264,109000,25,1280,720,309220
12190,37.011665,h264,1280,720,2759449,Autos & Vehicles,29,21,1088,0,1109,1899633,10866846,0,12766479,vp8,242000,15,480,360,219480
12191,33.09,h264,320,240,279173,Sports,13,22,434,0,456,101794,1052937,0,1154731,vp8,242000,25,1280,720,219480
12192,63.667,h264,640,480,972572,Entertainment,15,33,923,0,956,1259657,6480438,0,7740095,vp8,56000,15,1280,720,219656
12193,203.198,flv,320,240,239336,Sports,29,104,5974,0,6078,853613,5225468,0,6079081,vp8,3000000,15,1280,720,221160
12194,33.09,h264,320,240,279173,People & Blogs,13,22,434,0,456,101794,1052937,0,1154731,h264,242000,25,1280,720,312660
12195,581.233,h264,480,360,295979,Science & Technology,30,310,17128,0,17438,10151572,11352574,0,21504146,h264,820000,25,480,360,218932
12196,340.424,flv,320,240,244491,Entertainment,11,69,4012,0,4081,1168939,9234909,0,10403848,h264,5000000,25,1280,720,298048
12197,395.44,vp8,1280,720,1611942,Pets & Animals,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,mpeg4,5000000,24,1920,1080,221160
12198,39.055,h264,1920,1080,5992818,Film & Animation,30,26,1144,0,1170,839251,28416939,0,29256190,h264,242000,29.97,1920,1080,668428
12199,273.816,vp8,1920,1080,1571003,Film & Animation,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,3000000,12,480,360,219656
12200,86.486,h264,640,480,356037,News & Politics,29,46,2547,0,2593,819680,3029350,0,3849030,vp8,3000000,25,1920,1080,219656
12201,476.957,vp8,1280,720,1387100,Music,30.05252,105,14200,0,14305,3487520,79210885,0,82698405,h264,3000000,25,1920,1080,675956
12202,326.58832,h264,1920,1080,5999648,Music,23,174,7656,0,7830,16603953,228322925,0,244926878,mpeg4,539000,12,1280,720,218932
12203,1140.349,vp8,1280,720,2394626,People & Blogs,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,h264,3000000,25,1920,1080,652968
